id,cc_cons,cc_const
6975,,7250.428571428572
43223,,12500.52380952381
45502,,4049.0
12368,,7656.333333333333
40415,,14286.285714285714
31659,,6333.857142857143
19585,,3975.095238095238
11889,,3162.1428571428573
43494,,3861.8571428571427
2536,,6158.380952380952
16896,,4688.857142857143
23422,,17977.285714285714
31074,,15027.857142857143
32409,,15049.047619047618
29846,,1674.3809523809523
4046,,5875.714285714285
41350,,3562.2380952380954
24530,,5102.0
20128,,7916.9047619047615
25389,,5214.333333333333
8913,,15899.190476190477
41126,,6529.142857142857
19678,,4176.380952380952
1907,,6033.476190476191
22003,,10720.666666666666
1177,,4251.190476190476
13941,,5682.666666666667
19473,,3698.5238095238096
42500,,4083.5238095238096
3878,,4873.333333333333
8973,,8531.095238095239
9938,,5254.761904761905
38581,,4085.1428571428573
41728,,3607.5238095238096
42180,,6645.666666666667
23022,,3405.6190476190477
29322,,3943.4285714285716
38371,,4267.238095238095
14582,,7525.333333333333
37012,,4366.0
7993,,12539.52380952381
32720,,4109.428571428572
46172,,19321.761904761905
2646,,14526.0
12238,,4422.0
17793,,7974.9047619047615
1661,,5238.714285714285
30028,,4808.047619047619
38142,,2919.1428571428573
21187,,2788.0476190476193
32066,,4087.8571428571427
39689,,5533.190476190476
44715,,8956.380952380952
766,,6479.476190476191
38216,,5546.809523809524
10622,,6965.142857142857
42913,,4262.0952380952385
18904,,7825.9047619047615
19555,,2604.4761904761904
24285,,6326.333333333333
13852,,5024.333333333333
22599,,30401.0
18045,,7573.0
33600,,7962.190476190476
18103,,16369.095238095239
7314,,13459.52380952381
26516,,6376.190476190476
46770,,3510.809523809524
9126,,5578.0952380952385
46819,,11641.809523809523
10517,,9407.095238095239
45647,,5416.523809523809
26740,,3966.4761904761904
42782,,4858.428571428572
12493,,5280.952380952381
27311,,5913.0952380952385
11428,,5740.857142857143
24193,,9270.380952380952
22723,,8204.142857142857
14362,,3413.5714285714284
17572,,9448.714285714286
26477,,24297.095238095237
21283,,5781.333333333333
7599,,4177.190476190476
33989,,5360.142857142857
14945,,2000.142857142857
18531,,8594.190476190477
34513,,8983.666666666666
12426,,6957.857142857143
41416,,6128.0952380952385
31245,,3487.9523809523807
980,,3394.904761904762
7462,,2961.285714285714
26616,,5302.523809523809
1197,,17564.571428571428
11644,,17866.238095238095
8146,,8149.333333333333
29429,,3516.9523809523807
24599,,4290.047619047619
30209,,5788.285714285715
11455,,4033.5238095238096
27200,,4379.047619047619
2399,,3503.285714285714
45233,,10371.285714285714
10849,,2886.3809523809523
115,,4590.9047619047615
31237,,3415.285714285714
21669,,18302.190476190477
9174,,3501.6666666666665
27083,,2453.4285714285716
7213,,11902.57142857143
28851,,13700.285714285714
42749,,10674.0
16742,,3060.714285714286
35267,,8125.619047619048
43984,,7492.0952380952385
7010,,12424.190476190477
14426,,2660.095238095238
19816,,4909.619047619048
39466,,5225.857142857143
18829,,6110.809523809524
14473,,8402.190476190477
46767,,6439.142857142857
45144,,4642.952380952381
44345,,55768.47619047619
11714,,11772.238095238095
13403,,8997.047619047618
31814,,3484.3809523809523
43508,,9195.57142857143
23906,,10535.142857142857
2811,,2848.1428571428573
40103,,6778.428571428572
18600,,9711.857142857143
4014,,5879.142857142857
13951,,9123.57142857143
15102,,4920.476190476191
32381,,14701.857142857143
3813,,29810.238095238095
28707,,9829.666666666666
349,,2821.9523809523807
12470,,4375.809523809524
19094,,6437.666666666667
7929,,13471.761904761905
46048,,7383.761904761905
17261,,10247.952380952382
46725,,15586.666666666666
43947,,8250.666666666666
17002,,5393.047619047619
17779,,5427.190476190476
42113,,7524.857142857143
35665,,6622.714285714285
18909,,1939.7619047619048
20179,,3309.2380952380954
11405,,7244.952380952381
33245,,5856.523809523809
18703,,2620.2380952380954
27819,,3998.190476190476
45040,,23522.14285714286
43672,,7548.523809523809
7487,,5942.238095238095
23293,,8672.142857142857
9722,,6153.9047619047615
19191,,8512.047619047618
33640,,7025.0952380952385
15760,,2230.095238095238
3239,,3383.8571428571427
7870,,4124.571428571428
6688,,11221.904761904761
43489,,5646.428571428572
44820,,9037.57142857143
39063,,10949.42857142857
2786,,3956.714285714286
32090,,5146.476190476191
29498,,30243.52380952381
9932,,11806.952380952382
1603,,10108.47619047619
16911,,7700.857142857143
42880,,2918.2380952380954
35345,,6007.333333333333
5669,,14655.857142857143
540,,6287.761904761905
15257,,6260.142857142857
46065,,4741.523809523809
35233,,6626.428571428572
39124,,3020.0
3078,,3150.904761904762
11166,,4827.0
23888,,6847.9047619047615
1764,,5860.0952380952385
32624,,6621.285714285715
40688,,3301.714285714286
43431,,3034.3809523809523
36001,,3938.4285714285716
46485,,5452.285714285715
22511,,9445.380952380952
43122,,2832.9523809523807
26286,,6552.666666666667
42183,,2254.285714285714
38290,,4765.809523809524
19009,,6188.952380952381
16891,,7110.476190476191
40752,,4438.714285714285
24661,,4375.952380952381
35672,,6545.571428571428
26540,,6730.714285714285
46267,,5136.952380952381
6241,,2197.7619047619046
9430,,5876.428571428572
9346,,1866.4761904761904
14187,,9954.42857142857
43717,,3242.809523809524
33800,,11364.57142857143
13659,,2773.095238095238
34065,,2768.190476190476
20311,,4957.857142857143
14862,,19886.285714285714
32534,,4111.047619047619
45483,,4195.619047619048
17060,,3053.3333333333335
22610,,8103.714285714285
5730,,20114.666666666668
11618,,5218.714285714285
32612,,3257.7619047619046
37501,,7765.619047619048
20402,,5812.523809523809
25172,,13106.952380952382
29751,,6951.809523809524
28110,,6110.714285714285
9414,,2551.4285714285716
36448,,4233.857142857143
43249,,2713.904761904762
27037,,8437.47619047619
45457,,7165.285714285715
2730,,6632.0
15069,,13323.809523809523
37020,,3239.6666666666665
11641,,8003.476190476191
21182,,7511.619047619048
40538,,3347.3333333333335
37459,,6217.714285714285
38762,,4654.952380952381
36698,,3189.0476190476193
44287,,17646.904761904763
748,,3521.2380952380954
8029,,14780.190476190477
18867,,10515.857142857143
6783,,5897.476190476191
18325,,8223.047619047618
40462,,8155.809523809524
13380,,2254.095238095238
33060,,10589.238095238095
37739,,6819.0
39637,,10177.190476190477
36528,,10014.238095238095
37258,,3337.0
6826,,9356.142857142857
25874,,3525.714285714286
34733,,2091.3333333333335
585,,2673.190476190476
11908,,5066.619047619048
25725,,2855.9523809523807
11540,,6974.0952380952385
46396,,6001.666666666667
28322,,6480.380952380952
18382,,7014.190476190476
9507,,19517.714285714286
10942,,4550.523809523809
31220,,4941.142857142857
1190,,3344.3809523809523
13723,,6617.619047619048
28899,,2950.9523809523807
44063,,5246.476190476191
35700,,5763.190476190476
24170,,5088.285714285715
1609,,11978.761904761905
17549,,11044.619047619048
46749,,4808.666666666667
33920,,2308.8571428571427
36734,,3085.9523809523807
45250,,5230.0952380952385
30114,,4666.0
36979,,7643.523809523809
36199,,6461.809523809524
15539,,8979.142857142857
6082,,9908.42857142857
15586,,8626.619047619048
17325,,5105.380952380952
32459,,14655.904761904761
8808,,5328.571428571428
32429,,5496.190476190476
26739,,9840.0
