id,cc_cons
6975,23995.76265903772
43223,26843.088676581538
45502,25157.170634901704
12368,29097.389258542622
40415,43736.41030752327
31659,36982.49417199314
19585,22945.422999005328
11889,29106.644917796802
43494,77012.81297226058
2536,21139.990554244054
16896,22622.950572848727
23422,61221.269498687325
31074,33652.99402137878
32409,36745.12537909299
29846,15950.9528809092
4046,47519.23633945669
41350,18223.85965617845
24530,24590.685836517485
20128,18907.335495743726
25389,36341.938605636184
8913,43522.94768591283
41126,23648.150182764046
19678,60534.06527485582
1907,21233.86368961085
22003,56326.3655678932
1177,24489.555940521415
13941,16571.817717201076
19473,30395.822866757342
42500,25329.496256302024
3878,23386.85791910108
8973,27253.940168204397
9938,33985.72102048123
38581,19726.194491903152
41728,42276.06839185621
42180,19452.80009492801
23022,27920.030451336905
29322,52291.268961855385
38371,26316.537206051522
14582,34358.96821927774
37012,25636.758522412973
7993,24914.989770477812
32720,25307.484246664157
46172,33421.384878785
2646,56885.59852390207
12238,79981.95314525094
17793,31139.69163924374
1661,26286.60790013324
30028,21972.574287244235
38142,42578.334911052225
21187,19381.840555506904
32066,20669.919522901066
39689,58959.89096011387
44715,28742.744350227586
766,21273.61215748597
38216,25246.996809594304
10622,76177.76120535753
42913,38058.80604653814
18904,27520.763002766762
19555,20814.659919989645
24285,26388.596425556694
13852,61406.47215020182
22599,65377.6838240326
18045,29299.340249496658
33600,20095.916968476144
18103,80253.81043549313
7314,30936.68495809479
26516,33087.97065389817
46770,24102.28960947154
9126,47287.413264911185
46819,31056.03294068246
10517,25041.392861074768
45647,18808.419710887712
26740,25393.06709754371
42782,23994.037090272555
12493,24279.078181844263
27311,44647.07806697345
11428,19791.066604267166
24193,24895.093107257213
22723,18727.012247017585
14362,29081.61495750764
17572,75672.13492328109
26477,42955.8675800378
21283,19949.105739187158
7599,39306.16269712738
33989,18917.633533754444
14945,18352.246204353345
18531,20016.60214135563
34513,22865.93865172268
12426,23577.248090508452
41416,25520.451097753015
31245,54285.36401195201
980,32700.317852204375
7462,24251.49467270641
26616,23281.305534021638
1197,39350.1185082428
11644,57204.14398142119
8146,21088.88095429723
29429,19837.199988469452
24599,18760.119912348833
30209,18715.02507115988
11455,28238.42718775029
27200,25680.537525651453
2399,43020.99628282583
45233,30959.310916863207
10849,26906.426021913183
115,19806.758614328428
31237,17833.780858941842
21669,45937.23773044598
9174,30431.74248058058
27083,22719.334582014708
7213,38081.78815735463
28851,26009.13838461219
42749,44584.424869431416
16742,49274.883532881446
35267,38203.55599309743
43984,20143.280640916957
7010,35392.92190538923
14426,20724.847548718215
19816,33175.89464797333
39466,19742.58316154903
18829,22532.90175029487
14473,45185.31419941294
46767,26345.043353646906
45144,20920.35734812796
44345,74351.0591612421
11714,21564.26636220113
13403,24993.17882449436
31814,28881.316402015887
43508,22755.227808059164
23906,18880.87359244161
2811,23373.983343020314
40103,54310.9453333432
18600,27610.3634473375
4014,43602.41038754964
13951,27175.791020770615
15102,24551.256987955538
32381,37134.763509982615
3813,32301.158520214958
28707,38504.550966210896
349,25140.471196799568
12470,43408.59175502692
19094,35707.85748596222
7929,36593.89621207703
46048,33051.26715230671
17261,27517.01086696962
46725,38578.638546029426
43947,39627.10801111726
17002,39931.8720272012
17779,24482.750613426266
42113,25042.91629130795
35665,22837.361371268897
18909,24666.78137282515
20179,21567.146186708007
11405,26040.59674588521
33245,28084.345512823114
18703,28944.745160236955
27819,23784.540919717867
45040,39682.09596412422
43672,25659.338579982286
7487,53075.95025346946
23293,24940.986246986024
9722,27776.772796078643
19191,29191.329267568974
33640,22730.252115291107
15760,41173.21487115836
3239,22073.49481878127
7870,67795.46300854697
6688,20845.707474672003
43489,25765.336851960077
44820,34750.26838627411
39063,24485.214453946624
2786,21764.89505243406
32090,42113.33280498648
29498,44828.67747083964
9932,46102.62362552495
1603,20496.909046408604
16911,23218.971328824293
42880,36195.040410154616
35345,20135.606475326524
5669,21284.415208132443
540,27327.718210075458
15257,72035.27954055148
46065,20569.005041265104
35233,26081.73351630848
39124,29892.574174161593
3078,26684.20574929536
11166,18802.505884219776
23888,37401.72097856965
1764,18363.463285639824
32624,22003.779242276913
40688,42283.70730125299
43431,53831.28874927247
36001,21968.15590408095
46485,36114.87812988329
22511,24239.25225277187
43122,18600.941870661394
26286,21501.414318857947
42183,30350.44104790513
38290,21090.937043504382
19009,20107.59208130563
16891,22341.91904134472
40752,33273.71992665742
24661,39619.52727269998
35672,21554.99867665858
26540,35702.69546197046
46267,28516.870968254574
6241,26190.455873753264
9430,24007.336685718095
9346,20181.999529025634
14187,24363.764249831525
43717,23587.984267362714
33800,27283.531599324313
13659,21246.81008645144
34065,18864.10497381381
20311,18595.577903945465
14862,44587.06523590186
32534,20468.737311216304
45483,22275.75219967065
17060,21252.188388332055
22610,22530.256001549773
5730,42428.21131758895
11618,27264.476897821383
32612,25029.13782237767
37501,24900.76547063596
20402,43774.29453327891
25172,61222.653911168454
29751,36811.91295212411
28110,32820.190433499985
9414,20440.482444695197
36448,30305.57699877926
43249,23775.23249102893
27037,21834.28731629398
45457,20427.24116599848
2730,30592.954920612683
15069,29217.16926731018
37020,50272.612489406456
11641,46754.9727497322
21182,35022.53419923136
40538,31976.69625789649
37459,29897.940590399492
38762,20854.35545492699
36698,19397.493056930427
44287,50881.94956888689
748,24309.752124997874
8029,33053.663272093894
18867,54456.67585522719
6783,22121.510054916405
18325,27460.284702432167
40462,23945.602390410495
13380,17918.957784196507
33060,42946.126347536454
37739,22716.654118643375
39637,65194.33190659108
36528,26203.60525954771
37258,16956.116632326273
6826,32960.976589136844
25874,18741.873313108837
34733,20537.678150815947
585,23198.275265084318
11908,34577.04736709167
25725,20318.850827929797
11540,23294.452462095796
46396,30915.16773904214
28322,31807.18475538341
18382,51012.79430619354
9507,78701.74148985717
10942,32811.24348634604
31220,28637.362499457464
1190,22414.81260303344
13723,22583.25334627024
28899,26224.809435340023
44063,27240.028557407873
35700,29228.28765335126
24170,24014.5562875623
1609,29113.189233742538
17549,31483.082174438052
46749,21205.967680943897
33920,22514.287923983822
36734,26994.87673027732
45250,24360.554409366887
30114,26436.077024270257
36979,49929.72451994178
36199,23105.00174092548
15539,39005.52967919246
6082,25783.34074392033
15586,27004.156773698545
17325,18240.25788715214
32459,68358.06019490049
8808,23314.750014021352
32429,27847.9231727352
26739,18580.940068187803
32641,20598.48387321466
12104,28831.039939361945
5986,51996.41264838961
39650,44722.04134862835
40848,27818.280148528982
12472,17342.650401055987
20762,36197.87211566075
39422,28131.141046448553
14822,28457.91320243798
37142,77042.812900569
3205,35888.580616093706
21640,34279.58870551374
2234,23360.627785765624
23606,34042.561355282436
17423,23730.446231191192
40828,33622.96553696194
33985,21093.53453941422
45721,20288.96545116743
40436,20453.46774501592
15813,40111.53229512242
14092,62240.99389498815
30509,77213.69827517163
34050,17967.452649645507
21741,32486.787771685224
36527,21911.130439520814
8854,41582.37871716355
10859,31313.511409099563
706,23452.427399008826
43976,25742.167744848062
43978,36642.469753986865
7322,50548.08461695723
28071,18858.359402868722
12528,22983.59254314407
26871,25758.37303757359
24476,23408.979180587863
422,23807.754684574116
30157,30531.112277535693
14281,19087.614911592915
42520,21934.136937833537
3625,24958.745580325514
33366,19291.147047848935
34675,76852.7918407131
39319,49617.4866919998
46573,21715.716880962078
44389,23630.024283068517
41395,53681.96990358812
3809,18625.82189836743
18331,35928.74714302225
30478,58514.06523827452
14623,17798.283492122457
18825,24025.22496881304
16354,32929.53941432861
22670,26017.315703327302
8387,91248.33690552512
36491,16756.657050086244
42008,21902.208314641524
10573,23030.79835962801
20914,19985.060128320707
20255,22539.968567758828
26022,22431.99972076126
46674,31916.13316752197
6023,24360.7515840446
17266,39608.3559161507
19131,23535.84061616115
31503,48485.48691986932
1337,77915.23164010615
21281,24837.64205928333
32933,22906.16295750445
4650,23601.456233004632
28357,68953.5443416422
32764,16153.60517541191
46028,21901.48713180155
1228,23848.44376273075
34211,37504.36884923489
35195,26074.961969304364
19995,23000.125768525555
15691,26171.159625606175
33450,27958.631113914977
45389,28496.873380882025
35560,45248.20022879349
46012,31598.421594484826
13108,56313.87644489325
26849,30714.811821551528
13047,16658.818699984666
33233,23740.957967918977
46211,51445.541905361635
6624,16275.32990385624
36355,23686.663651904848
36856,32046.578448873915
33234,26385.59087967986
31069,80733.50395329838
26844,29372.052757094585
23253,60098.5502457463
44965,35412.69075481559
13042,31751.938260222145
9988,19259.647123246745
22827,34273.981348694186
2521,86754.02898195476
17211,65010.32137180076
16912,28274.380630912085
29291,45731.5783132175
38895,32241.575831367518
45744,37534.307799291506
42705,29578.213861846947
1427,21206.313042142778
32682,23738.688912741374
4771,28588.640348318004
46180,29711.34063568138
26801,73602.34663286078
39359,33627.208900401136
33709,34198.14265880664
12042,23668.197468793427
22838,29462.522884711565
7529,37367.137076412415
13296,117828.71235432336
35618,22005.107601851283
10447,37594.994350022695
10,37889.63716506481
45014,22432.188234875794
25003,26206.505648262857
16307,25008.827664592623
17853,24995.383182863094
7595,23594.890953147493
3520,21567.494956688664
44558,23742.552381134534
46301,23400.068903246836
